,date_time,is_holiday,air_pollution_index,humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,rain_p_h,snow_p_h,clouds_all,weather_type,weather_description,traffic_volume,year,date,month,hour
0,2012-10-02 09:00:00,0,121,89,2,329,1,1,288.28,0.0,0.0,40,1,24,5545,2012,2,10,9
1,2012-10-02 10:00:00,0,178,67,3,330,1,1,289.36,0.0,0.0,75,1,2,4516,2012,2,10,10
2,2012-10-02 11:00:00,0,113,66,3,329,2,2,289.58,0.0,0.0,90,1,19,4767,2012,2,10,11
3,2012-10-02 12:00:00,0,20,66,3,329,5,5,290.13,0.0,0.0,90,1,19,5026,2012,2,10,12
4,2012-10-02 13:00:00,0,281,65,3,329,7,7,291.14,0.0,0.0,75,1,2,4918,2012,2,10,13
5,2012-10-02 14:00:00,0,23,65,3,328,6,6,291.72,0.0,0.0,1,0,27,5181,2012,2,10,14
6,2012-10-02 15:00:00,0,184,64,3,328,7,7,293.17,0.0,0.0,1,0,27,5584,2012,2,10,15
7,2012-10-02 16:00:00,0,167,64,3,327,7,7,293.86,0.0,0.0,1,0,27,6015,2012,2,10,16
8,2012-10-02 17:00:00,0,119,63,3,327,6,6,294.14,0.0,0.0,20,1,4,5791,2012,2,10,17
9,2012-10-02 18:00:00,0,161,63,3,326,3,3,293.1,0.0,0.0,20,1,4,4770,2012,2,10,18
10,2012-10-02 19:00:00,0,243,62,3,326,8,8,290.97,0.0,0.0,20,1,4,3539,2012,2,10,19
11,2012-10-02 20:00:00,0,150,62,3,326,5,5,289.38,0.0,0.0,1,0,27,2784,2012,2,10,20
12,2012-10-02 21:00:00,0,128,61,4,325,4,4,288.61,0.0,0.0,1,0,27,2361,2012,2,10,21
13,2012-10-02 22:00:00,0,18,61,4,325,7,7,287.16,0.0,0.0,1,0,27,1529,2012,2,10,22
14,2012-10-02 23:00:00,0,186,60,4,324,5,5,285.45,0.0,0.0,1,0,27,963,2012,2,10,23
15,2012-10-03 00:00:00,0,58,60,4,324,2,2,284.63,0.0,0.0,1,0,27,506,2012,3,10,0
16,2012-10-03 01:00:00,0,158,59,4,324,6,6,283.47,0.0,0.0,1,0,27,321,2012,3,10,1
17,2012-10-03 02:00:00,0,166,59,4,323,1,1,281.18,0.0,0.0,1,0,27,273,2012,3,10,2
18,2012-10-03 03:00:00,0,101,58,4,323,7,7,281.09,0.0,0.0,1,0,27,367,2012,3,10,3
19,2012-10-03 04:00:00,0,161,58,4,322,4,4,279.53,0.0,0.0,1,0,27,814,2012,3,10,4
20,2012-10-03 05:00:00,0,179,57,4,322,3,3,278.62,0.0,0.0,1,0,27,2718,2012,3,10,5
21,2012-10-03 06:00:00,0,93,57,4,322,4,4,278.23,0.0,0.0,1,0,27,5673,2012,3,10,6
22,2012-10-03 08:00:00,0,57,56,4,321,4,4,278.12,0.0,0.0,1,0,27,6511,2012,3,10,8
23,2012-10-03 09:00:00,0,226,56,4,321,4,4,282.48,0.0,0.0,1,0,27,5471,2012,3,10,9
24,2012-10-03 12:00:00,0,86,55,4,320,3,3,291.97,0.0,0.0,1,0,27,5097,2012,3,10,12
25,2012-10-03 13:00:00,0,52,55,4,320,1,1,293.23,0.0,0.0,1,0,27,4887,2012,3,10,13
26,2012-10-03 14:00:00,0,273,55,4,320,4,4,294.31,0.0,0.0,1,0,27,5337,2012,3,10,14
27,2012-10-03 15:00:00,0,72,55,5,350,3,3,295.17,0.0,0.0,1,0,27,5692,2012,3,10,15
28,2012-10-03 16:00:00,0,254,55,4,320,1,1,295.13,0.0,0.0,1,0,27,6137,2012,3,10,16
29,2012-10-03 18:00:00,0,129,55,5,330,4,4,293.66,0.0,0.0,20,1,4,4623,2012,3,10,18
30,2012-10-03 19:00:00,0,271,48,7,330,1,1,290.65,0.0,0.0,20,1,4,3591,2012,3,10,19
31,2012-10-03 20:00:00,0,259,42,6,320,1,1,288.19,0.0,0.0,20,1,4,2898,2012,3,10,20
32,2012-10-03 21:00:00,0,61,33,5,340,8,8,287.1,0.0,0.0,1,0,27,2637,2012,3,10,21
33,2012-10-03 22:00:00,0,286,30,5,340,4,4,286.25,0.0,0.0,1,0,27,1777,2012,3,10,22
34,2012-10-03 23:00:00,0,151,33,3,340,9,9,285.26,0.0,0.0,1,0,27,1015,2012,3,10,23
35,2012-10-04 00:00:00,0,260,32,5,350,8,8,284.55,0.0,0.0,1,0,27,598,2012,4,10,0
36,2012-10-04 01:00:00,0,234,37,5,350,5,5,283.47,0.0,0.0,1,0,27,369,2012,4,10,1
37,2012-10-04 02:00:00,0,162,36,4,330,5,5,283.17,0.0,0.0,1,0,27,312,2012,4,10,2
